name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J2235.7-4817" "PKS 2232-488" 338.80517 -48.59969 344.48786909 -56.06441736 0.324 0.288 0.93 FSRQ LSP 0.51 -999 1e-09 3e-10 2.43 0.17 5.7 N Y S Y H -999
"1FGL J0526.3-4829" "PKS 0524-485" 81.56942 -48.51017 254.99265343 -33.75515016 0.029 0.103 1.0 FSRQ LSP 1.299 -999 1.5e-09 3e-10 2.37 0.11 11.1 N N S Y H -999
"1FGL J2325.6-4758" "PKS 2322-482" 351.3625 -48.00467 335.92992939 -63.24362514 0.042 0.109 1.0 BLL ISP 0.221 -999 6e-10 3e-10 1.92 0.25 5.9 N N S Y H -999
"1FGL J0004.7-4737" "PKS 0002-478" 1.14867 -47.60517 323.94695965 -67.56643315 0.032 0.153 0.99 FSRQ LSP 0.88 -999 8e-10 3e-10 2.56 0.17 6.6 N N S Y H -999
"1FGL J1936.9-4720" "BZB J1936-4719" 294.23375 -47.33056 351.16334255 -27.01581254 0.013 0.039 1.0 BLL HSP 0.265 -999 1.1e-09 3e-10 1.68 0.19 8.2 N N S Y H -999
"1FGL J2056.3-4714" "PKS 2052-47" 314.06862 -47.2465 352.59063942 -40.38166773 0.014 0.041 1.0 FSRQ LSP 1.489 -999 4.6e-09 5e-10 2.54 0.05 32.1 Y N S Y H -999
"1FGL J0245.9-4652" "PKS 0244-470" 41.50046 -46.85483 261.82758519 -60.09392022 0.019 0.058 1.0 FSRQ LSP 1.385 -999 2.8e-09 4e-10 2.52 0.06 23.5 Y N S Y H -999
"1FGL J0702.0-4628" "PKS 0700-465" 105.39392 -46.57683 256.80681566 -17.70568278 0.13 0.121 0.98 FSRQ LSP 0.822 -999 1.3e-09 3e-10 2.35 0.14 6.9 N N S Y H -999
"1FGL J1304.0-4622" "CGRaBS J1303-4621" 195.91779 -46.35069 305.13269814 16.46877767 0.075 0.219 0.98 FSRQ -999 1.664 < 1.4e-09 -999.0 2.02 0.23 4.4 N N S Y H -999
"1FGL J0455.6-4618" "PKS 0454-46" 73.96146 -46.26647 251.96838074 -38.81438694 0.051 0.101 1.0 FSRQ LSP 0.858 -999 1.6e-09 3e-10 2.57 0.09 14.1 N N S Y H -999
"1FGL J0157.5-4613" "CGRaBS J0157-4614" 29.46304 -46.23978 272.80412233 -66.81194692 0.061 0.208 1.0 FSRQ -999 2.287 -999 1.1e-09 3e-10 2.55 0.16 6.6 N N S Y H -999
"1FGL J2126.1-4603" "PKS 2123-463" 321.62846 -46.09633 353.58667264 -45.64270683 0.076 0.254 0.98 FSRQ -999 1.67 -999 1e-09 3e-10 2.66 0.14 7.8 N N S Y H -999
"1FGL J2007.9-4430" "PKS 2004-447" 301.97992 -44.579 355.33093501 -31.84993134 0.073 0.094 1.0 AGN -999 0.24 -999 6e-10 3e-10 2.35 0.18 5.7 N N S Y H -999
"1FGL J0538.8-4404" "PKS 0537-441" 84.70979 -44.08575 250.0826959 -31.08967314 0.008 0.022 1.0 BLL LSP 0.892 -999 2.13e-08 9e-10 2.27 0.02 80.4 Y Y S Y H -999
"1FGL J0449.5-4350" "PKS 0447-439" 72.35367 -43.83603 248.80553244 -39.91823258 0.018 0.021 1.0 BLL HSP 0.205 -999 1.11e-08 7e-10 1.95 0.03 46.9 Y N S Y H -999
"1FGL J1325.6-4300" "Cen A" 201.36506 -43.01911 309.51589125 19.4172752 0.037 0.066 1.0 AGN -999 0.002 -999 3.5e-09 5e-10 2.71 0.06 24.7 N N S Y H -999
"1FGL J1959.3-4241" "CGRaBS J1959-4246" 299.80579 -42.76886 357.1151424 -30.0042823 0.073 0.106 0.99 FSRQ -999 2.174 -999 1.6e-09 3e-10 2.41 0.12 9.5 Y N S Y H -999
"1FGL J0029.9-4221" "PKS 0027-426" 7.57283 -42.41292 317.32658887 -74.11916531 0.079 0.134 0.99 FSRQ LSP 0.495 -999 7e-10 2e-10 2.39 0.17 6.6 N N S Y H -999
"1FGL J1428.2-4204" "PKS 1424-41" 216.98471 -42.10519 321.44751685 17.27074227 0.072 0.096 1.0 FSRQ LSP 1.522 -999 3.4e-09 5e-10 2.31 0.07 15.0 Y Y S Y H -999
"1FGL J1501.6-4204" "QSO J150255.20-415430.2" 225.73 -41.90839 327.59970236 14.57987786 0.295 0.35 0.63 AGN -999 1.026 -999 9e-10 3e-10 2.87 0.18 6.0 N N S N H -999
"1FGL J1307.0-4030" "ESO 323-G77" 196.60888 -40.41458 306.01815091 22.36727959 0.158 0.179 0.78 AGN -999 0.015 -999 1e-09 3e-10 2.72 0.12 8.8 N N S N H -999
"1FGL J1610.8-3955" "VCS2 J1610-3958" 242.59116 -39.98287 339.17055894 8.49880753 0.109 0.183 1.0 FSRQ -999 0.518 -999 1.7e-09 5e-10 2.27 0.19 5.0 N N S N L -999
"1FGL J1938.2-3957" "PKS 1933-400" 294.31758 -39.96711 359.16273523 -25.36605866 0.191 0.164 0.97 FSRQ LSP 0.965 -999 1.8e-09 4e-10 2.45 0.09 11.5 N N S N H -999
"1FGL J2237.2-3919" "CRATES J2237-3921" 339.28379 -39.36061 0.59503039 -59.59720938 0.042 0.187 0.98 FSRQ -999 0.297 -999 7e-10 2e-10 2.38 0.2 5.6 N N S Y H -999
"1FGL J1958.4-3847" "PKS 1954-388" 299.49925 -38.75178 1.57888742 -28.95820751 0.097 0.068 0.89 FSRQ LSP 0.63 -999 2.7e-09 4e-10 2.47 0.08 16.0 Y N S Y H -999
"1FGL J0557.6-3831" "CRATES J0558-3838" 89.52696 -38.64214 244.86248805 -26.42594011 0.15 0.159 0.98 BLL HSP 0.302 -999 9e-10 3e-10 2.32 0.17 5.8 N N S Y H -999
"1FGL J0407.4-3827" "PKS 0405-385" 61.746 -38.44111 241.28695948 -47.88984739 0.096 0.082 0.93 FSRQ LSP 1.285 -999 2.5e-09 4e-10 2.4 0.08 18.0 Y N S Y H -999
"1FGL J1146.9-3812" "PKS 1144-379" 176.75571 -38.20306 289.23967804 22.9500023 0.011 0.056 1.0 FSRQ LSP 1.048 -999 2.4e-09 4e-10 2.31 0.08 14.3 Y N S Y H -999
"1FGL J0428.6-3756" "PKS 0426-380" 67.16842 -37.93878 240.70796293 -43.61817786 0.01 0.02 1.0 BLL LSP 1.111 -999 2.57e-08 1e-09 2.13 0.02 87.9 Y Y S Y H -999
"1FGL J1347.8-3751" "CRATES J1347-3750" 206.91846 -37.8435 315.02538696 23.70408646 0.04 0.133 1.0 FSRQ LSP 1.3 -999 1.1e-09 3e-10 2.7 0.15 7.8 Y N S Y H -999
"1FGL J0229.3-3644" "PKS 0227-369" 37.36854 -36.73245 243.93233652 -67.17812974 0.021 0.067 1.0 FSRQ LSP 2.115 -999 2e-09 3e-10 2.6 0.07 18.9 Y N S Y H -999
"1FGL J0522.8-3632" "PKS 0521-36" 80.7416 -36.45857 240.6076911 -32.71596944 0.087 0.086 0.97 BLL LSP 0.055 -999 2.9e-09 4e-10 2.6 0.06 24.2 Y N S Y H -999
"1FGL J0403.9-3603" "PKS 0402-362" 60.97396 -36.08386 237.7429075 -48.48332341 0.02 0.068 1.0 FSRQ LSP 1.417 -999 2.7e-09 4e-10 2.56 0.06 25.8 Y N S Y H -999
"1FGL J2325.5-3559" "CTS A13.10" 351.36917 -35.965 1.77375095 -69.72695296 0.031 0.064 0.95 FSRQ -999 0.36 -999 3e-09 4e-10 2.14 0.07 19.4 Y Y S Y H -999
"1FGL J1457.5-3540" "PKS 1454-354" 224.36129 -35.65278 329.8940371 20.53710238 0.026 0.028 1.0 FSRQ LSP 1.424 -999 1.69e-08 9e-10 2.27 0.02 60.7 Y Y S Y H -999
"1FGL J0627.3-3530" "PKS 0625-35" 96.77808 -35.48761 243.45306203 -19.96723909 0.046 0.083 0.99 AGN -999 0.055 -999 8e-10 3e-10 1.86 0.18 6.3 N N S Y H -999
"1FGL J2145.4-3358" "CGRaBS J2145-3357" 326.25471 -33.95456 11.44713895 -49.62894251 0.085 0.138 0.99 FSRQ -999 1.36 -999 1.3e-09 3e-10 2.39 0.12 9.4 Y N S Y H -999
"1FGL J1316.1-3341" "PKS 1313-333" 199.03329 -33.64978 308.80351106 28.94026458 0.043 0.069 0.99 FSRQ LSP 1.21 -999 3.9e-09 5e-10 2.34 0.07 17.5 Y N S Y H -999
"1FGL J0401.3-3152" "PKS 0400-319" 60.58863 -31.79053 231.2443671 -48.50811534 0.232 0.155 0.0 FSRQ -999 1.288 -999 6e-10 3e-10 2.37 0.17 6.0 N N -999 N A -999
"1FGL J0456.4-3132" "CRATES J0456-3136" 74.15283 -31.60347 233.46901324 -37.08782595 0.073 0.136 0.96 FSRQ LSP 0.865 -999 8e-10 3e-10 2.38 0.13 7.6 Y N S Y H -999
"1FGL J1119.5-3044" "BZB J1119-3047" 169.91458 -30.78894 280.62495104 28.07670304 0.044 0.104 1.0 BLL HSP 0.412 < 8e-10 -999.0 1.53 0.44 4.8 N N S Y H -999
"1FGL J2227.7-3036" "2QZ J222741.5-303809" 336.923 -30.63581 17.87392618 -58.47114272 0.03 0.113 0.0 AGN -999 0.467 < 9e-10 -999.0 2.05 0.26 4.5 N N -999 N A -999
"1FGL J2359.0-3035" "1H 2351-315" 359.7825 -30.6275 12.8417295 -78.03522036 0.049 0.085 0.99 BLL HSP 0.165 -999 1.1e-09 3e-10 2.1 0.17 7.1 N N S Y H -999
"1FGL J2158.8-3013" "PKS 2155-304" 329.71696 -30.22558 17.73050588 -52.24586776 0.009 0.015 1.0 BLL HSP 0.116 -999 2.71e-08 1e-09 1.91 0.02 85.3 Y N S Y H -999
"1FGL J1958.4-3013" "FRBA J1958-3011" 299.56217 -30.18653 10.9487277 -26.76788556 0.064 0.05 0.0 BLL HSP 0.119 -999 8e-10 3e-10 2.33 0.15 8.1 N N -999 N A -999
"1FGL J2350.1-3005" "2QZ J235021.5-300039" 357.58958 -30.01092 17.20240212 -76.29462511 0.093 0.152 0.0 AGN -999 1.575 -999 6e-10 3e-10 2.35 0.18 5.8 N N -999 N A -999
"1FGL J1626.2-2956" "PKS 1622-29" 246.52509 -29.85749 348.81717059 13.31553912 0.091 0.144 1.0 FSRQ LSP 0.815 -999 2.2e-09 5e-10 2.36 0.1 8.4 N N S Y H -999
"1FGL J1925.2-2919" "PKS B1921-293" 291.21275 -29.24169 9.34408614 -19.60679783 0.122 0.111 0.99 FSRQ LSP 0.352 -999 1.4e-09 4e-10 2.4 0.11 8.6 N N S Y H -999
"1FGL J0539.1-2847" "PKS 0537-286" 84.97617 -28.66553 232.93992919 -27.2925382 0.207 0.363 0.98 FSRQ LSP 3.104 < 9e-10 -999.0 2.71 0.16 5.9 N N S Y H -999
"1FGL J0453.2-2805" "PKS 0451-28" 73.31104 -28.12703 229.01863036 -37.01589659 0.04 0.09 1.0 FSRQ LSP 2.56 -999 2.2e-09 4e-10 2.64 0.07 21.3 Y N S Y H -999
