name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J2134.3-6429" "CRATES J2131-6415" 322.93371 -64.25422 329.17846059 -41.26925454 0.369 0.26 0.0 Unknown -999 -999.0 -999 9e-10 3e-10 2.48 0.18 5.6 N N -999 N A -999
"1FGL J0051.4-6242" "RBS 119" 12.81952 -62.7012 302.96342254 -54.42704148 0.025 0.067 0.0 Unknown -999 -999.0 -999 1.8e-09 3e-10 1.68 0.12 12.0 N N -999 N A -999
"1FGL J2103.9-6237" "CRATES J2103-6232" 315.90975 -62.54072 332.72561519 -38.93425212 0.091 0.108 0.94 Unknown HSP -999.0 -999 1.5e-09 3e-10 2.03 0.13 8.9 N N S Y H -999
"1FGL J1702.7-6217" "CGRaBS J1703-6212" 255.90171 -62.21136 328.11629859 -12.43303607 0.127 0.164 0.96 FSRQ -999 1.75 -999 1.2e-09 4e-10 2.54 0.13 6.9 N N S N H -999
"1FGL J0303.4-6209" "PKS 0302-623" 45.96092 -62.19044 280.22881086 -48.68944298 0.049 0.139 0.99 FSRQ LSP 1.351 -999 1.3e-09 3e-10 2.59 0.13 10.2 N N S Y H -999
"1FGL J0516.7-6207" "PKS 0516-621" 79.18754 -62.11806 271.50951024 -34.76108143 0.014 0.066 1.0 Unknown LSP -999.0 -999 3.2e-09 4e-10 2.28 0.09 17.6 Y N S Y H -999
"1FGL J1629.5-6147" "PMN J1628-6152" 247.22787 -61.87678 325.76061668 -9.07644524 0.107 0.134 0.97 Unknown -999 -999.0 -999 2.4e-09 5e-10 2.5 0.04 9.0 N N S N L -999
"1FGL J0238.3-6132" "PKS 0235-618" 39.22179 -61.60422 283.19597694 -51.29246822 0.188 0.286 0.94 FSRQ LSP 0.465 < 1e-09 -999.0 2.66 0.23 4.9 N N S Y H -999
"1FGL J0507.3-6103" "PKS 0506-61" 76.68325 -61.16139 270.55042473 -36.07215145 0.126 0.115 0.95 FSRQ -999 1.093 -999 1.9e-09 3e-10 2.73 0.11 12.2 Y N MM N H -999
"1FGL J0507.3-6103" "CRATES J0507-6104" 76.97771 -61.07861 270.42279803 -35.94401318 0.072 0.115 0.98 FSRQ -999 1.088 -999 1.9e-09 3e-10 2.73 0.11 12.2 Y N MM N H -999
